INSTITUTION,FULL_FARE,STUDENT,TEACHER,SIXTY_YEARS_OLD,TICKET,CHILD,PERSONNEL,FREE;INSTITUTION;FULL_FARE;STUDENT;TEACHER;SIXTY_YEARS_OLD;TICKET;CHILD;PERSONNEL;FREE
BİSİM,12,14,0,0,0,0,0,0;BİSİM;12;14;0;0;0;0;0;0
Eshot,167173,88069,1072,5869,256,98,9182,69935;Eshot;167173;88069;1072;5869;256;98;9182;69935
İzban,72284,34469,635,1485,290,7,1818,14830;İzban;72284;34469;635;1485;290;7;1818;14830
Izdeniz,20336,8171,209,353,1865,5,211,3272;Izdeniz;20336;8171;209;353;1865;5;211;3272
Izulas,46295,24150,219,1564,35,27,2364,19528;Izulas;46295;24150;219;1564;35;27;2364;19528
Metro,65372,40047,551,1734,594,19,1831,14621;Metro;65372;40047;551;1734;594;19;1831;14621
NOSTALJİK TRAMVAY,230,279,5,1,3,0,4,23;NOSTALJİK TRAMVAY;230;279;5;1;3;0;4;23
Seferihisar Mot. Taş. Kooperat,2718,1173,36,91,4,0,131,1341;Seferihisar Mot. Taş. Kooperat;2718;1173;36;91;4;0;131;1341
Teleferik,-1,0,0,0,0,0,0,0;Teleferik;-1;0;0;0;0;0;0;0
Tramvay Karşıyaka,9167,5892,122,205,69,2,175,2626;Tramvay Karşıyaka;9167;5892;122;205;69;2;175;2626
Tramvay Konak,17463,10512,187,482,141,2,629,4641;Tramvay Konak;17463;10512;187;482;141;2;629;4641
BİSİM,11,17,1,0,0,0,0,0;BİSİM;11;17;1;0;0;0;0;0
Eshot,177925,97151,1245,6875,238,119,9454,86221;Eshot;177925;97151;1245;6875;238;119;9454;86221
İzban,74482,33488,834,1620,268,9,1999,17580;İzban;74482;33488;834;1620;268;9;1999;17580
Izdeniz,18871,7488,215,345,1273,1,242,3408;Izdeniz;18871;7488;215;345;1273;1;242;3408
Izulas,48011,26693,274,1741,42,32,2546,23383;Izulas;48011;26693;274;1741;42;32;2546;23383
Metro,63433,39795,632,1627,504,13,1914,15376;Metro;63433;39795;632;1627;504;13;1914;15376
NOSTALJİK TRAMVAY,130,41,3,1,1,0,1,4;NOSTALJİK TRAMVAY;130;41;3;1;1;0;1;4
Seferihisar Mot. Taş. Kooperat,3048,1378,33,90,3,0,172,1528;Seferihisar Mot. Taş. Kooperat;3048;1378;33;90;3;0;172;1528
Teleferik,0,0,0,0,0,0,0,0;Teleferik;0;0;0;0;0;0;0;0
Tramvay Karşıyaka,8656,4937,112,259,41,0,193,2706;Tramvay Karşıyaka;8656;4937;112;259;41;0;193;2706
Tramvay Konak,17376,10580,195,479,82,5,597,5020;Tramvay Konak;17376;10580;195;479;82;5;597;5020
BİSİM,8,8,0,0,0,0,0,0;BİSİM;8;8;0;0;0;0;0;0
Eshot,323938,270677,5833,14091,191,221,22174,164962;Eshot;323938;270677;5833;14091;191;221;22174;164962
İzban,116266,66001,2286,3341,255,9,4995,32840;İzban;116266;66001;2286;3341;255;9;4995;32840
Izdeniz,21986,7647,331,798,737,3,909,6081;Izdeniz;21986;7647;331;798;737;3;909;6081
Izulas,75353,58115,1207,3288,32,61,4369,41064;Izulas;75353;58115;1207;3288;32;61;4369;41064
